"nom","lieu","departement"
"Sport Quilles Agentol","Agen-d'Aveyron","12"
"Sport Quilles Arvieunois","Arvieu","12"
"Sport Quilles Balsacois","Balsac","12"
"Sport Quilles Baraqueville","Baraqueville","12"
"Sport Quilles Bertholène Coussergues","Bertholène Coussergues","12"
"Bezonnes Olympic Quilles","Bezonnes","12"
"AOB Quilles Bozouls","Bozouls","12"
"Sport Quilles Camboulazet","Camboulazet","12"
"Sport Quilles Campouriez","Campouriez","12"
"Sport Quilles Campuac","Campuac","12"
"Sport Quilles Cassagnes","Cassagnes-Bégonhès","12"
"Sport Quilles Cassuéjouls","Cassuéjouls","12"
"Sport Quilles Castelnau de Mandailles","Castelnau de Mandailles","12"
"Sport Quilles Colombiès","Colombiès","12"
"Sport Quilles Comps-la-Grand-Ville","Comps-la-Grand-Ville","12"
"Sport Quilles Entente Cransac Auzits","Cransac Auzits","12"
"Sport Quilles Curan Bouloc","Curan Bouloc","12"
"Sport Quilles Durenquois","Durenque","12"
"Sport Quilles Entraygues","Entraygues","12"
"Sport Quilles Espalionnais","Espalion","12"
"Sport Quilles Espeyrac","Espeyrac","12"
"Sport Quilles Flavinois","Flavin","12"
"Sport Quilles Florentin-La-Capelle","Florentin-La-Capelle","12"
"Sport Quilles Gabriac","Gabriac","12"
"Sport Quilles Gages","Gages","12"
"Sport Quilles Gillorgues","Gillorgues","12"
"Sport Quilles Golinhac","Golinhac","12"
"Sport Quilles Gramondais","Gramond","12"
"Sport Quilles Grand-Vabre","Grand-Vabre","12"
"Sport Quilles Marcillac-Vallon","Marcillac-Vallon","12"
"Sport Quilles Huparlac","Huparlac","12"
"Sport Quilles Laguiole","Laguiole","12"
"Sport Quilles Lassoutois","Lassouts","12"
"Sport Quilles Lestrade-et-Thouels","Lestrade-et-Thouels","12"
"Sport Quilles Limayrac","Limayrac","12"
"Sport Quilles Luc","Luc-la-Primaube","12"
"Sport Quilles Lunel","Lunel","12"
"Sport Quilles Magrin Parlan","Magrin","12"
"Sport Quilles Manhac","Manhac","12"
"Sport Quilles Marcillacois","Marcillac-Vallon","12"
"Sport Quilles Millavois","Millau","12"
"Sport Quilles Du Monastère","Le Monastère","12"
"Sport Quilles Montbazinois","Montbazens","12"
"Sport Quilles Moyrazès","Moyrazès","12"
"Sport Quilles Najac","Najac","12"
"Sport Quilles Naucellois","Naucelle","12"
"Sport Quilles Le Nayrac","Le Nayrac","12"
"Sport Quilles Olemps","Olemps","12"
"Sport Quilles Onet-le-Château","Onet-le-Château","12"
"Sport Quilles Palmas","Palmas","12"
"Sport Quilles Le Piboul","Le Piboul","12"
"Sport Quilles Pierrefiche Saint Martin","Pierrefiche","12"
"Sport Quilles Pont-de-Salars","Pont-de-Salars","12"
"Sport Quilles Primaubois","La Primaube","12"
"Sport Quilles Prades-Salars","Prades-Salars","12"
"Sport Quilles Pruines-Mouret","Pruines","12"
"Sport Quilles Réquistanais","Réquista","12"
"Sport Quilles Rieupeyroux","Rieupeyroux","12"
"Sport Quilles Rignac","Rignac Firmi","12"
"Sport Quilles Ruthénois","Rodez","12"
"Sport Quilles Rullac-Saint-Cirq","Rullac-Saint-Cirq","12"
"Sport Quilles Saint-Amans-des-Cots","Saint-Amans-des-Cots","12"
"Sport Quilles Saint-Christophe","Saint-Christophe-Vallon","12"
"Sport Quilles Saint-Côme-d'Olt","Saint-Côme-d'Olt","12"
"Sport Quilles Saint-Cyprien-sur-Dourdou","Saint-Cyprien-sur-Dourdou","12"
"Sport Quilles Saint-Geniez-d'Olt","Saint-Geniez-d'Olt","12"
"Boule Occitane Saint Jenaise","Saint-Jean-Delnous","12"
"Sport Quilles Saint-Julien-de-Rodelle","Saint-Julien-de-Rodelle","12"
"Sport Quilles Sainte-Geneviève","Sainte-Geneviève-sur-Argence","12"
"Sport Quilles Saint-Laurent-d'Olt","Saint-Laurent-d'Olt","12"
"Sport Quilles Sébazac","Sébazac-Concourès","12"
"Sport Quilles Ségur","Ségur","12"
"Sport Quilles Selvois","La Selve","12"
"Sport Quilles Sénergues","Sénergues","12"
"Sport Quilles Sévérac d'Aveyron","Sévérac-le-Château","12"
"Sport Quilles Souyri","Souyri","12"
"Sport Quilles Centres-Taurines-Tayac","Taurines-Tayac","12"
"Sport Quilles Trémouilles","Trémouilles","12"
"Sport Quilles Villecomtal","Villecomtal","12"
"Sport Quilles Panatois","Villefranche-de-Panat","12"
"Sport Quilles Villefranchois","Villefranche-de-Rouergue","12"
"SQAAT","Toulouse","31"
"SQ Save et Garonne","Grenade","31"
"SQ Montpellier","Montpellier","34"
"SQ Luzech","Luzech","46"
"SQ Saint Céré Quilles 46","Saint-Céré","46"
"QAC Le Rozier","Le Rozier","48"
"SA Paris","Paris","75"
"SQR Paris","Paris","75"
"SQ Castres","Castres","81"
"SQ Mirandol","Mirandol ","81"
"SQ Sénouillac","Sénouillac","81"
"SQ Le Séquestre","Le Sequestre","81"
"SQ Valence d'Albi","Valence-d'Albigeois","81"
"SQ Bressols","Bressols ","82"
